id_str,created_at,user.id,text
574050482693390336,Sat Mar 07 03:34:35 +0000 2015,317155770,NetNewsLedger Lakehead Thunderwolves Women’s Basketball Season Comes to an End: WINDSOR – SPORTS - The OUA wom... http://t.co/K5juYU0aEu
574050764915675136,Sat Mar 07 03:35:42 +0000 2015,422155408,"nice first round win Montclair. 1 down, 5 to go for the womens basketball team. got a tough test vs stevenson tomorrow"
574050926144565249,Sat Mar 07 03:36:20 +0000 2015,933591079,SEC Womens Basketball Tournament UK Hoops vs Mississippi St8 http://t.co/QkrG7Yh7VD #MakaylaEpps #MatthewMitchell #MississippiState #season
574051326486843392,Sat Mar 07 03:37:56 +0000 2015,17700091,"This is what sports should be about! #love

Maureen Dillon is devoted to @DePaulAthletics women's basketball - #ESPN http://t.co/2EXXetFOZm"
574051667760390144,Sat Mar 07 03:39:17 +0000 2015,933591079,SEC Women's Basketball ... #MakaylaEpps #MatthewMitchell #MississippiState #Season http://t.co/JCpKQv3NDt
574052172981121024,Sat Mar 07 03:41:18 +0000 2015,416721624,ASU's smothering defense halts WSU in Pac-12 Tournament quarterfinals - http://t.co/NYyzcCMwCj http://t.co/DCszskVvkU  - #ASU
574052511281250304,Sat Mar 07 03:42:38 +0000 2015,84637505,@espn the NCAA Divions 3 womens basketball tournament Bridgewater v. Salisbury/ BSU got robbed by the worse referees in the league!
574052714746765312,Sat Mar 07 03:43:27 +0000 2015,2466035070,#NBA #Timberwolves - Minnesota Timberwolves Womens XL Kevin Garnett #21 NBA Basketball ... http://t.co/IuTdMKax9A http://t.co/k33Sm3HFUt
574052972914696192,Sat Mar 07 03:44:28 +0000 2015,249466351,RT @WCBINEWS: Ole Miss Women’s Basketball Is Knocked Out Of SEC Tournament http://t.co/3lhH3TdNFM
574053480534577153,Sat Mar 07 03:46:29 +0000 2015,377808827,Wow 6 tvs at the bar all playin womens college basketball
574053709350633472,Sat Mar 07 03:47:24 +0000 2015,12371172,FGCU women's basketball team advances to Atlantic Sun semifinals http://t.co/fs8PfVcDVJ
574054003669090304,Sat Mar 07 03:48:34 +0000 2015,302099579,"RT @dailytarheel: When @SMavunga_23 has her hands on the ball, she keeps her mind on her family, her faith and her love of the sport. http:…"
574054277934661632,Sat Mar 07 03:49:39 +0000 2015,1027358748,Oklahoma women’s basketball: Season-ending injury helped Kaylon #Williams develop as a… http://t.co/NxlNoBXZ5e
574054684220063744,Sat Mar 07 03:51:16 +0000 2015,21660801,@UConnWBB Dominates @American_WBB Major Awards http://t.co/8dBLYRr1nN #bleedblue #uconn
574054712162541568,Sat Mar 07 03:51:23 +0000 2015,463251728,RT @BrendanRMarks: What does it mean to truly be grateful? My @dailytarheel story on what drives Stephanie Mavunga: http://t.co/PcW9jIUdfI
574054876390551552,Sat Mar 07 03:52:02 +0000 2015,30573270,Gardner - Webb Men and Womens Basketball in the quarterfinals of the Big South Tournament. Concidence? NOPE. #winitforrobuck
574054983051579392,Sat Mar 07 03:52:28 +0000 2015,543397541,Kansas State Advances in Big 12 Women’s Basketball Tournament http://t.co/F8mEA8ofsJ
574055309033009152,Sat Mar 07 03:53:45 +0000 2015,175036739,All-Access: Nurse Justice http://t.co/30aOeZAqHb
574055413986955265,Sat Mar 07 03:54:10 +0000 2015,87501447,Quinnipiac men's and women's basketball take home MAAC awards - http://t.co/3QuTmaySXC http://t.co/w1et4Me0Pu
574055429430509568,Sat Mar 07 03:54:14 +0000 2015,751829623,Welcome @LimestoneSaints to @BennettRank #D2WBB Blog of Conf Champs after beating Mt. Olive for @ConfCarolinas title http://t.co/060B34CdrY
574055518576181249,Sat Mar 07 03:54:35 +0000 2015,1714118712,RT @Q30Television: Quinnipiac men's and women's basketball take home MAAC awards - http://t.co/3QuTmaySXC http://t.co/w1et4Me0Pu
574055605134061569,Sat Mar 07 03:54:56 +0000 2015,118876365,RT @Kevin_Lytle: Colorado State women clinch back-to-back MW titles; more coming soon. http://t.co/sl6GmxcqE2 via @coloradoan http://t.co/e…
574055631289647104,Sat Mar 07 03:55:02 +0000 2015,15691595,RT @Kevin_Lytle: Colorado State women clinch back-to-back MW titles; more coming soon. http://t.co/sl6GmxcqE2 via @coloradoan http://t.co/e…
574055671357837314,Sat Mar 07 03:55:12 +0000 2015,5255831,RT @Kevin_Lytle: Colorado State women clinch back-to-back MW titles; more coming soon. http://t.co/sl6GmxcqE2 via @coloradoan http://t.co/e…
574055736998658049,Sat Mar 07 03:55:27 +0000 2015,279851029,RT @Kevin_Lytle: Colorado State women clinch back-to-back MW titles; more coming soon. http://t.co/sl6GmxcqE2 via @coloradoan http://t.co/e…
574056076213010432,Sat Mar 07 03:56:48 +0000 2015,2459753744,RT @vulcaneruptions: Welcome @LimestoneSaints to @BennettRank #D2WBB Blog of Conf Champs after beating Mt. Olive for @ConfCarolinas title h…
574056992769245185,Sat Mar 07 04:00:27 +0000 2015,218636612,"Womens basketball halftime score: George Fox 41, PSU-Abington 11."
574057226094047232,Sat Mar 07 04:01:22 +0000 2015,21660801,UConn Women Dominate AAC Women’s Basketball Major Awards http://t.co/beOxPHOqsT http://t.co/mpanCdTJB9
574057518701355009,Sat Mar 07 04:02:32 +0000 2015,370415404,Check the SJU WBB A10 Tournament quarterfinal round summary. http://t.co/zd0WTWMDY7 - @SJUHawks_WBB @jackcjumper #THWND
574057665732702208,Sat Mar 07 04:03:07 +0000 2015,224114913,RT @IndependencMall: #DidYouKnow- @IndependencMall is a #TicketmasterOutlet? Check out upcoming events like: NAIA Womens Basketball Champio…
574057845957619713,Sat Mar 07 04:03:50 +0000 2015,19546736,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
574057828303826945,Sat Mar 07 04:03:46 +0000 2015,2802121056,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
574057845957619713,Sat Mar 07 04:03:50 +0000 2015,19546736,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
574057931630489600,Sat Mar 07 04:04:11 +0000 2015,292175045,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
574058045107363840,Sat Mar 07 04:04:38 +0000 2015,606050569,RT @Pac12Networks: Down go the top-seeded Beavers! The Buffs move on to the semifinals! http://t.co/9MryU5zZ15 http://t.co/1gBiYcHGuM
